time,open,close,high,low,volumefrom,volumeto
1279324800,0.04951,0.04951,0.04951,0.04951,20.0,0.9902
1279411200,0.04951,0.08584,0.08585,0.05941,75.01,5.092
1279497600,0.08584,0.0808,0.09307,0.07723,574.0,49.66
1279584000,0.0808,0.07474,0.08181,0.07426,262.0,20.59
1279670400,0.07474,0.07921,0.07921,0.06634,575.0,42.26
1279756800,0.07921,0.0505,0.08181,0.0505,2160.0,129.78
1279843200,0.0505,0.06262,0.06767,0.0505,2402.5,141.07
1279929600,0.06262,0.05454,0.06161,0.05049,496.32,26.73
1280016000,0.05454,0.0505,0.05941,0.0505,1551.48,85.06
1280102400,0.0505,0.056,0.056,0.05,877.0,46.91
1280188800,0.056,0.06,0.0605,0.053,3373.69,196.92
1280275200,0.06,0.0589,0.062,0.054,4390.29,255.76
1280361600,0.0589,0.0699,0.0699,0.0571,8058.49,528.32
1280448000,0.0699,0.0627,0.0698,0.0582,3020.85,198.53
1280534400,0.0627,0.06785,0.06889,0.056,4022.25,243.9
1280620800,0.06785,0.0611,0.065,0.06,2601.0,162.65
1280707200,0.0611,0.06,0.0633,0.06,3599.0,221.2
1280793600,0.06,0.06,0.065,0.059,9821.46,606.05
1280880000,0.06,0.057,0.06231,0.057,3494.0,210.77
1280966400,0.057,0.061,0.061,0.058,5034.07,303.61
1281052800,0.061,0.0623,0.0624,0.0607,1395.0,85.91
1281139200,0.0623,0.059,0.0622,0.059,2619.0,157.34
1281225600,0.059,0.0609,0.061,0.059,2201.0,132.6
1281312000,0.0609,0.071,0.0735,0.0593,13631.09,886.93
1281398400,0.071,0.07,0.0709,0.06651,1310.39,88.87
1281484800,0.07,0.067,0.07541,0.06,14061.18,1015.64
1281571200,0.067,0.07,0.07,0.06141,2062.31,134.49
1281657600,0.07,0.0645,0.068,0.0645,3591.77,233.8
1281744000,0.0645,0.067,0.0695,0.0645,4404.2,295.31
1281830400,0.067,0.06529,0.067,0.065,4462.87,294.95
1281916800,0.06529,0.0655,0.0679,0.062,10731.47,696.8
1282003200,0.0655,0.07,0.0769,0.06243,13185.74,915.0
1282089600,0.07,0.068,0.0733,0.067,2953.98,203.83
1282176000,0.068,0.0667,0.0679,0.0667,741.12,50.04
1282262400,0.0667,0.0655,0.0667,0.065,4199.75,276.41
1282348800,0.0655,0.0664,0.0669,0.0644,10443.86,688.51
1282435200,0.0664,0.066,0.0664,0.0612,18648.97,1183.64
1282521600,0.066,0.06491,0.06689,0.063,4297.49,281.88
1282608000,0.06491,0.065,0.0665,0.06491,6711.76,444.66
1282694400,0.065,0.0648,0.0665,0.0641,4228.88,278.86
1282780800,0.0648,0.064,0.0658,0.064,3870.01,251.56
1282867200,0.064,0.065,0.065,0.063,9009.97,583.71
