close,conversionSymbol,conversionType,high,low,open,time (unix epoch),volumefrom,volumeto,ingestion_date (unix epoch)
0.04951,"",direct,0.04951,0.04951,0.04951,1279324800,20.0,0.9902,1680537367
0.08584,"",direct,0.08585,0.05941,0.04951,1279411200,75.01,5.092,1680537367
0.0808,"",direct,0.09307,0.07723,0.08584,1279497600,574.0,49.66,1680537367
0.07474,"",direct,0.08181,0.07426,0.0808,1279584000,262.0,20.59,1680537367
0.07921,"",direct,0.07921,0.06634,0.07474,1279670400,575.0,42.26,1680537367
0.0505,"",direct,0.08181,0.0505,0.07921,1279756800,2160.0,129.78,1680537367
0.06262,"",direct,0.06767,0.0505,0.0505,1279843200,2402.5,141.07,1680537367
0.05454,"",direct,0.06161,0.05049,0.06262,1279929600,496.32,26.73,1680537367
0.0505,"",direct,0.05941,0.0505,0.05454,1280016000,1551.48,85.06,1680537367
0.056,"",direct,0.056,0.05,0.0505,1280102400,877.0,46.91,1680537367
0.06,"",direct,0.0605,0.053,0.056,1280188800,3373.69,196.92,1680537367
0.0589,"",direct,0.062,0.054,0.06,1280275200,4390.29,255.76,1680537367
0.0699,"",direct,0.0699,0.0571,0.0589,1280361600,8058.49,528.32,1680537367
0.0627,"",direct,0.0698,0.0582,0.0699,1280448000,3020.85,198.53,1680537367
0.06785,"",direct,0.06889,0.056,0.0627,1280534400,4022.25,243.9,1680537367
0.0611,"",direct,0.065,0.06,0.06785,1280620800,2601.0,162.65,1680537367
0.06,"",direct,0.0633,0.06,0.0611,1280707200,3599.0,221.2,1680537367
0.06,"",direct,0.065,0.059,0.06,1280793600,9821.46,606.05,1680537367
0.057,"",direct,0.06231,0.057,0.06,1280880000,3494.0,210.77,1680537367
0.061,"",direct,0.061,0.058,0.057,1280966400,5034.07,303.61,1680537367
0.0623,"",direct,0.0624,0.0607,0.061,1281052800,1395.0,85.91,1680537367
0.059,"",direct,0.0622,0.059,0.0623,1281139200,2619.0,157.34,1680537367
0.0609,"",direct,0.061,0.059,0.059,1281225600,2201.0,132.6,1680537367
0.071,"",direct,0.0735,0.0593,0.0609,1281312000,13631.09,886.93,1680537367
0.07,"",direct,0.0709,0.06651,0.071,1281398400,1310.39,88.87,1680537367
0.067,"",direct,0.07541,0.06,0.07,1281484800,14061.18,1015.64,1680537367
0.07,"",direct,0.07,0.06141,0.067,1281571200,2062.31,134.49,1680537367
0.0645,"",direct,0.068,0.0645,0.07,1281657600,3591.77,233.8,1680537367
0.067,"",direct,0.0695,0.0645,0.0645,1281744000,4404.2,295.31,1680537367
0.06529,"",direct,0.067,0.065,0.067,1281830400,4462.87,294.95,1680537367
0.0655,"",direct,0.0679,0.062,0.06529,1281916800,10731.47,696.8,1680537367
0.07,"",direct,0.0769,0.06243,0.0655,1282003200,13185.74,915.0,1680537367
